単身世帯_支出金額[円],,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,,,,,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
,階層,大分類,中分類,小分類,品目分類,(平成12年),(平成13年),(平成14年),(平成15年),(平成16年),(平成17年),(平成18年),(平成19年),(平成20年),(平成21年),(平成22年),(平成23年),(平成24年),(平成25年),(平成26年),(平成27年),(平成28年),(平成29年),(平成30年),(令和元年),(令和２年),(令和３年),(令和４年),(令和５年),(令和６年)
73,4,5,2,3,子供用洋服,1107,907,1284,1435,1516,967,859,1284,1196,1226,935,1051,704,885,1044,1033,1099,786,793,946,851,574,477,904,602
74,3,5,3,-,シャツ・セーター類,24188,22112,20257,20283,22296,19938,19281,17995,19021,18063,17191,16830,15058,17006,16743,17755,16417,15795,14245,15457,12816,11948,13598,11092,13542
75,4,5,3,1,男子用シャツ・セーター類,6578,5927,6726,5484,6532,5777,5497,5998,5609,5442,4574,5091,3790,5118,4749,5215,5021,5224,3927,5520,4735,3823,4739,3265,3813
76,4,5,3,2,婦人用シャツ・セーター類,17393,15955,13371,14647,15426,13961,13667,11715,13193,12278,12402,11525,11115,11716,11846,12343,11161,10477,10175,9806,8006,8047,8790,7638,9582
77,4,5,3,3,子供用シャツ・セーター類,217,230,161,152,337,200,118,283,218,344,215,213,152,173,147,198,235,95,144,131,76,78,70,188,147
78,3,5,4,-,下着類,7859,6660,9228,6163,6884,6975,6342,6079,7360,5334,6227,6466,5936,6101,5490,5378,5403,5576,4979,5410,4401,6534,4368,5566,4138
79,4,5,4,1,男子用下着類,1901,1874,1560,1490,1600,1947,1381,1786,2143,1442,1520,2002,1262,1553,1184,1455,1657,1363,1288,1182,1061,952,924,1444,1177
80,4,5,4,2,婦人用下着類,5821,4690,7598,4580,5173,4896,4854,4205,5124,3805,4572,4352,4578,4443,4218,3835,3653,4153,3617,4153,3260,5535,3357,3991,2866
81,4,5,4,3,子供用下着類,137,96,70,93,111,132,106,88,93,86,134,112,97,105,87,89,93,60,73,75,79,48,87,130,95
82,3,5,5,-,生地・糸類,1722,1192,2180,1081,1084,2043,1067,3371,979,1408,883,949,1014,900,816,886,982,1073,612,886,906,619,684,793,541
